DateTime,MPPT
2023-01-01T00:00:00.0,0.0
2023-01-01T00:15:00.0,0.0
2023-01-01T00:30:00.0,0.0
2023-01-01T00:45:00.0,0.0
2023-01-01T01:00:00.0,0.0
2023-01-01T01:15:00.0,0.0
2023-01-01T01:30:00.0,0.0
2023-01-01T01:45:00.0,0.0
2023-01-01T02:00:00.0,0.0
2023-01-01T02:15:00.0,0.0
2023-01-01T02:30:00.0,0.0
2023-01-01T02:45:00.0,0.0
2023-01-01T03:00:00.0,0.0
2023-01-01T03:15:00.0,0.0
2023-01-01T03:30:00.0,0.0
2023-01-01T03:45:00.0,0.0
2023-01-01T04:00:00.0,0.0
2023-01-01T04:15:00.0,0.0
2023-01-01T04:30:00.0,0.0
2023-01-01T04:45:00.0,0.0
2023-01-01T05:00:00.0,0.0
2023-01-01T05:15:00.0,0.0
2023-01-01T05:30:00.0,0.0
2023-01-01T05:45:00.0,0.0
2023-01-01T06:00:00.0,0.0
2023-01-01T06:15:00.0,0.0
2023-01-01T06:30:00.0,0.0
2023-01-01T06:45:00.0,0.0
2023-01-01T07:00:00.0,0.0
2023-01-01T07:15:00.0,0.0
2023-01-01T07:30:00.0,0.0
2023-01-01T07:45:00.0,0.0
2023-01-01T08:00:00.0,0.0
2023-01-01T08:15:00.0,0.0
2023-01-01T08:30:00.0,0.0
2023-01-01T08:45:00.0,0.0
2023-01-01T09:00:00.0,0.0
2023-01-01T09:15:00.0,0.03398492973483123
2023-01-01T09:30:00.0,0.07022057833842443
2023-01-01T09:45:00.0,0.07366070502774587
2023-01-01T10:00:00.0,0.07682149562183496
2023-01-01T10:15:00.0,0.08893538126731673
2023-01-01T10:30:00.0,0.11787641196189476
2023-01-01T10:45:00.0,0.16246202823383674
2023-01-01T11:00:00.0,0.37765714958973656
2023-01-01T11:15:00.0,0.16522291692321264
2023-01-01T11:30:00.0,0.19160942027915226
2023-01-01T11:45:00.0,0.23995469043851325
2023-01-01T12:00:00.0,0.5028461853126528
2023-01-01T12:15:00.0,0.26250579390658346
2023-01-01T12:30:00.0,0.3765905391746386
2023-01-01T12:45:00.0,0.32783936030053235
2023-01-01T13:00:00.0,0.22377191564138285
2023-01-01T13:15:00.0,0.2542918625169044
2023-01-01T13:30:00.0,0.26741758711878166
